,tense,mode,neg,token,lead,lemma,pos,dep,ent,ent_label,vector_norm,vector,start,end,sentiment,sent_sentiment,valence,sent_valence,docid,sentid
0,PRESENT,NORMAL,False,we,we,we,PRON,nsubj,False,,8.98228,"[-0.01047274 -0.8574377  -0.52702713 -0.44709542  0.54570425  2.0744417
 -0.5832398  -0.5594918   1.0645436  -1.4307555   0.79760534  0.9321543
 -1.3349804  -0.16208065  1.3427     -0.16296896  0.8328785   1.8628488
 -0.8855066  -0.11240846  0.37976038 -1.0339704   0.7708807   0.3283732
 -0.7054039  -1.5775574   0.63417095  0.22559947 -0.3790294  -0.78298575
 -0.04079053 -1.298701   -0.439861   -1.0663116  -0.09228462 -0.87584424
 -1.2672033   0.8030034  -1.5837342  -0.6006682  -0.31246918 -0.29811698
 -0.15034589 -1.4322743  -1.261312   -0.8341594   0.710107   -1.0547882
  1.0092492  -1.4069169   0.8262647   1.6528455   1.5275867  -1.0394167
 -0.6534796   1.0709302   0.53181946 -0.17948648  0.5038171  -1.1274977
 -0.06711598  1.5298389   0.96120715 -0.24361983  0.50865906 -0.64929616
  1.2833352  -0.7690165   0.4668132  -1.0110874   0.62517583  1.5834353
  1.7429464   0.5166997  -0.84654033 -1.4304931  -0.56914103 -0.03592151
  0.8160054   1.5510421  -0.09889416 -0.67583454  1.049985    1.5201182
  0.88731027 -0.3629693  -0.21237864  0.3617547  -0.31757027  0.00369191
 -0.29158288 -0.71228325  0.65034616  0.48691192 -0.20488076 -0.52935624]",0,1,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
1,PRESENT,NORMAL,False,imagine,imagine,imagine,VERB,ROOT,False,,8.072705,"[-6.20059550e-01 -4.09669578e-01 -3.70585918e-03  2.14740920e+00
  2.99367994e-01  6.73711896e-01  3.54341060e-01  2.15202355e+00
  3.14619392e-01 -8.02567482e-01 -1.64892763e-01  3.77869368e-01
 -3.57913971e-02 -7.16023684e-01 -1.02652416e-01 -3.50175440e-01
 -8.20625663e-01 -4.84425753e-01  7.63536215e-01 -7.84931421e-01
 -4.66084778e-01 -7.98964858e-01 -9.27378237e-01 -1.01686919e+00
 -3.20695788e-01  1.13397086e+00 -6.12666607e-01  5.23418844e-01
 -5.54725468e-01 -8.82534862e-01 -1.18077123e+00 -6.73148215e-01
  9.97379720e-02  3.88470113e-01 -1.50949359e-01 -1.04499531e+00
 -6.67206585e-01 -9.57456946e-01  3.36621785e+00  7.06168175e-01
 -1.20085049e+00 -3.29988480e-01 -2.31333673e-02 -6.80927932e-02
  1.10479045e+00  8.76486301e-03 -1.18133321e-01 -5.34829497e-01
 -2.61697561e-01  1.02097845e+00  8.96081328e-01  3.81740570e-01
  1.19534306e-01 -1.04856193e+00 -1.05893934e+00  5.35449982e-02
 -3.88957232e-01  7.72503972e-01  5.85257530e-01 -1.69561490e-01
  1.00484335e+00  3.14253360e-01 -2.15921432e-01 -2.93371201e-01
  1.22829221e-01 -5.06088018e-01 -1.04462600e+00 -2.95312405e-01
  3.24046701e-01 -3.74405563e-01 -5.89405239e-01 -4.93949130e-02
 -7.13106275e-01  1.19709671e-01  3.14784765e-01  5.13846219e-01
 -1.26244754e-01  2.85886556e-01 -3.47417384e-01  1.17272139e-03
  4.23904955e-01 -7.22615242e-01  2.14437112e-01 -6.58225954e-01
 -5.18201709e-01 -4.94730473e-01  2.79769033e-01 -2.54133716e-02
  2.52934635e-01  2.92486191e+00 -5.64690948e-01  1.01308107e-01
 -3.10300738e-01  6.78368449e-01  2.03426528e+00 -7.40371823e-01]",1,2,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
2,PAST,NORMAL,False,that,that,that,SCONJ,mark,False,,9.031605,"[ 0.27669722 -0.32906413 -0.9626965  -0.16765574 -0.70133793 -1.0067121
 -0.5935498   0.7402265   2.4697967   1.9185488   0.35789174  0.59020305
  0.041621    0.47337133  0.21460769 -1.0439397   0.07962009  0.75194556
 -0.23038784 -1.368877    0.2718981  -0.7180184  -1.4840331  -0.43304014
  1.2059776  -0.24261677 -0.6558171   0.19158456 -0.08708853 -0.9974534
 -0.431541    0.8660555  -0.76419336 -0.3469158   0.24551012 -1.2472446
  0.60071886  0.4572547  -0.14528644 -1.6790643  -0.266077   -0.34950098
  1.3525553   0.22468255  0.381299    0.5649537  -0.75119984 -1.0094261
 -0.00599615 -0.804075    0.81146264  2.7957819  -0.74959415  0.2901126
 -0.7399143  -0.6238324  -0.02011329 -0.29339236  1.3863437   1.7150667
 -1.3724711   0.711967   -0.38652858  0.47635868  0.2874613  -0.08006135
 -0.99848205  0.9842356  -0.58780724 -0.9116683   1.1352139   0.42931068
 -0.50544757 -0.637808   -0.32767135 -0.67117095  1.009942    0.642104
 -1.43735     0.11919469  1.2204711   0.658903   -0.9762238  -1.0038172
  0.21075657  1.9641889  -0.6937403  -0.43533814  2.4777386  -0.6201025
 -0.59305084 -0.51771563 -0.36426365 -0.88802624  1.6656067  -0.05660722]",2,3,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
3,PAST,NORMAL,False,several,several,several,ADJ,amod,False,,8.741253,"[-0.4525763  -0.7853476  -0.9396708  -0.94614595  0.32917142  0.72436595
 -1.033518    1.1237582  -0.6823731   1.0464368  -0.64340687 -0.6001579
 -0.53310734  0.8293638  -0.42005366 -0.69721437  0.66708905  0.6605185
  2.5015607   0.69644207 -0.64854324 -1.0182734  -0.8373263   2.2874997
 -0.47420192 -1.3230103   0.6228449   1.0761144   0.2243557   0.11497661
  0.11282015  0.10098897 -0.50962675 -0.03930484 -0.22395009  1.2603114
 -0.6202074   0.5000059   0.2457628   0.21166362 -0.43311685 -1.99377
  0.7380181  -0.597667   -0.7641082   0.281078   -0.13439718  0.04241344
  0.42424345  0.02569293  1.4059671  -1.4973156  -0.731692   -0.75344956
  0.08425128  0.8216999   0.15278134 -0.5241943  -0.2199734   1.8119795
 -0.6037145  -0.64222443  1.9110844   0.6971031   1.7397504  -1.1652281
  0.7285595  -0.5591076  -0.07640077 -1.1172552  -0.45741123 -0.72239256
  0.67127246  0.30119348  1.4892778  -1.2551049   0.12676124 -1.1568768
  1.25594    -0.699558   -0.3237034  -0.59770924 -1.4591625  -0.7493033
 -0.24279128 -0.07158183 -0.32621795 -0.3130529  -0.4185888   0.9108
  1.3241055   0.63885975  1.4468317   0.80836546 -0.14123502 -0.9020914 ]",3,4,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
4,PAST,NORMAL,False,divisions,divisions,division,NOUN,nsubjpass,False,,6.7752523,"[ 0.03917302  0.38560736  0.26177186 -0.45368272  0.09414235 -0.10993534
 -0.580232   -0.74695766 -0.07578041 -0.6515209  -1.2289894  -0.41999915
 -0.2718982   0.09973766 -0.6243307  -0.2139292  -0.45841652 -0.8114632
 -0.3728504   0.28420982 -0.38520345  0.19643815 -0.24460414  0.67964774
 -0.03337842  0.6694488  -0.28155518 -1.2567219   1.068749   -0.21793735
  0.8634641   0.5913569  -0.59264195 -0.10000896 -0.30794063 -1.1501105
  0.29782474 -0.85107625 -1.0896924  -0.85945344  0.8110807   0.23368478
 -0.8963346   0.734785   -0.79895145 -0.4245463   1.2529749  -0.27699548
  2.003981   -0.7884684  -0.3026887   0.468639   -0.1556117  -0.77736485
  0.4711844   0.7267582  -0.83082664 -0.52763337 -0.7728408  -0.27313232
  1.4052657   0.6673617   0.18113716 -0.14494976  0.3848329  -0.30362102
 -0.14779356  0.7733996  -0.09204309 -1.1456823   0.7194016  -0.83059794
  0.05815901  0.49290073 -0.2267381  -0.59883165 -0.9913343   0.05910422
  0.54812217 -0.09116738 -0.6399406  -0.13464926 -0.6016308   1.1276481
  0.6837212   0.52522975  0.5094625  -1.0273309   1.3313038   0.16360243
  1.7555047   0.84866846  0.12878612 -0.66418624 -0.85439855  0.08873323]",4,5,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
5,PAST,NORMAL,False,of,of,of,ADP,prep,False,,8.075522,"[-0.17369369 -0.46062934 -0.32959437  0.42860812 -0.8239242  -1.16662
  0.5822051  -0.7028228   1.6417089  -1.0721544   0.66209906 -0.09141904
  1.6376308   0.40983737  2.0707214   0.26155558  0.11568345 -0.18665782
  1.1015949   0.72435087  0.4087897  -0.57820934 -0.39498383 -0.33137614
 -1.2010738   0.5582413  -0.78812706 -0.6450828   1.1234057   0.16282615
 -0.62016505  0.43377054  0.30309296 -0.95505315 -0.2238867  -0.42561296
  1.3761501   0.5095384  -0.31905267 -0.49090338 -1.4484575  -0.8707721
  0.10004698 -0.8678104   0.24572565  0.6001501  -0.35629767  0.18455178
  0.01690821 -0.47068682 -1.1059294  -0.60161793 -0.29131198  1.8946337
  0.5976342  -0.03696275  1.3015219  -0.9702006   0.27073824 -1.1281216
  0.7140828  -0.8636981  -0.85875183  0.70296454  1.6707053   0.32520175
 -0.7253529   2.4321039  -0.6302661  -0.69260854 -0.9172364  -0.35846713
  0.33966094  1.3392603  -0.37379128  0.7220007   0.53134096 -0.30946398
 -0.18060535 -0.39529926 -0.08813878  0.70038366  0.8139343  -0.58334583
 -0.61142004 -1.5755378   1.1406094  -0.77198255 -0.23926315 -0.25650868
  0.21148805  0.5925146   0.13545252 -0.45798355 -0.63862437  1.0632901 ]",5,6,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
6,PAST,NORMAL,False,the,the,the,DET,det,False,,8.310081,"[-0.5383246   1.6770525  -0.81303704 -1.3576694   0.58674896 -0.533272
 -0.20011696 -1.0081404   1.2412478   2.5857556   0.67334664  0.02359629
 -0.19894183  0.15108526  2.1617203   1.0363742   1.3806947  -0.01751739
  1.2913756   0.30756602 -1.107922    0.11492252 -0.2604221   0.48051035
 -0.20674068 -0.44137168 -0.65097904 -1.3752772   0.23414063 -0.2155232
  1.1792138   0.4924611   0.77094644 -0.9584242   1.0414107   0.56065655
 -0.8110813   0.29033437 -1.0176519  -1.5968552   0.34047818 -1.1770084
  1.840511   -0.516374    0.49177617 -1.4357744  -1.1219052   0.2313059
 -1.2411141  -0.70309544  0.681094   -0.8735773  -0.06491758 -0.6635208
  0.39026475 -0.07122333 -0.10367516 -0.36204112  0.14898184 -0.2471856
 -0.29094672 -1.1485145   0.4935927   0.8159442   1.1769485  -0.43891948
  0.7808269   1.3644654   0.0107013  -1.1734027  -1.2920072  -1.1822932
  0.31236356  0.438617    0.18770018 -0.79019654 -0.7750647  -0.48966867
  0.11532891  0.31522164 -0.14288016  0.44328302 -0.5907063  -0.8244467
 -0.50566113  0.4187324   0.29304403  0.8665843   0.23660533  0.8017998
 -0.19996321 -0.45137346  0.07319125 -0.63268256 -0.6273221   0.8465188 ]",6,7,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
7,PAST,NORMAL,False,byzantine,byzantine,byzantine,ADJ,amod,True,NORP,7.534074,"[ 0.29310542  0.9687933  -0.26680475 -1.7086222   1.5016971  -0.02375245
  0.297422    0.5629915  -0.4503039  -0.01861165  1.2758104  -0.6004504
 -0.31568807  1.1767597   0.08676416  0.20389007 -0.7455647   0.41164
  1.3787888   1.4098102  -1.540131    0.22152346  0.58751345 -0.63140535
  0.27861494 -0.7207831  -0.5137803   0.17885365  0.2665031  -0.2590389
  0.4046143   0.5130467  -0.4867577  -0.17821647  0.5184152  -0.18293129
 -0.13638043  0.7745949  -0.5072749   1.1756698  -1.0393171  -0.22510011
  1.3970573  -0.74500537 -0.57474446  1.5012481  -0.9659277  -0.44488928
  0.98682714 -0.12121184  0.8913229  -0.49426222 -1.4342798  -0.82459503
  0.643649    0.6537016  -0.08007084  0.05382341 -0.9810335  -0.1996021
 -0.43152487 -0.41935652  0.08115678  0.38925818 -0.2796341  -0.1249412
 -0.03120911 -0.93523157 -0.70042646 -1.3665411  -0.58089477  0.04760276
 -0.41696367  0.21064788 -0.21966366 -1.1897563  -0.65933365 -1.0580966
  0.4755077  -1.1154454  -0.85339236 -0.37780014  0.41094357 -0.23602542
 -0.9159336  -0.43111515  0.5001557  -0.3943405  -0.48890907 -0.04588735
  1.4165342   0.53837913  2.2492473   0.7290859  -0.8624269   0.18144658]",7,8,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
8,PAST,NORMAL,False,army,army,army,NOUN,pobj,False,,6.778314,"[ 0.09417687  1.4894927   0.26303646  0.19102025 -0.12626392  0.73088497
 -0.76462793 -0.10943407  0.47429898 -0.42174095 -0.81368077 -0.9085442
 -0.26044407 -0.5860815   0.04641369  0.53315645 -0.73535144 -0.19299823
 -0.3589121  -0.3482754  -0.3449076   0.44296116  1.3996074   0.13592792
 -0.03961962 -0.5244092  -0.37120155 -0.86805844  0.15894182  0.04402533
  1.7150553  -0.831843   -0.21226555  0.96752745  0.39264002 -0.22788315
 -0.60369945  0.39545816 -0.44564873 -0.30893484 -0.7349085   0.13352114
  0.2971573  -0.02694827 -0.943794   -1.1727726  -0.3292131  -0.32644352
  2.6015754   0.22894923  0.33073533 -0.00823379 -1.1762729   0.05916844
  0.12111241  0.53976715  0.04869132 -0.201354   -0.7083566  -0.2803192
  1.2365083  -0.44488102  1.095933   -0.75350165 -1.1447128   0.17694059
 -0.15030584 -0.33132884  0.7857435  -0.5269633   0.52874404  0.00940138
  0.47817162 -0.04935145 -0.27783436 -1.316807   -0.8881085   0.18119939
  0.04048592 -0.6138259  -0.17088528  1.2706095  -0.4707005   0.39557585
 -0.5049483  -0.09243319  1.3395684  -1.4464195  -0.24563472  0.24047072
 -0.06887684  0.892809    0.9001666  -0.28751728 -0.0230214  -0.42396653]",8,9,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
9,PAST,NORMAL,False,are,are,be,AUX,auxpass,False,,9.295983,"[-1.79605782e-01 -4.17205691e-02  3.73354524e-01 -5.07423103e-01
  2.43565083e+00  2.09617376e-01 -8.98952305e-01  8.29882562e-01
  1.54673100e-01 -3.82267296e-01 -9.23152566e-01 -7.47311056e-01
  1.61924094e-01 -6.96489930e-01  1.21116292e+00  6.36673212e-01
  1.54099345e+00 -5.78734338e-01 -7.01127887e-01  3.24962020e-01
 -5.39979935e-01  9.92137939e-03 -8.30832303e-01 -9.07572031e-01
 -1.51805639e+00  4.70244795e-01 -4.96855348e-01 -9.47924256e-01
  5.78582227e-01 -1.82097316e-01 -8.87874305e-01  8.47598314e-02
  5.16454101e-01 -1.02623975e+00 -1.08002448e+00 -4.08983886e-01
  9.42282677e-02 -1.01114416e+00  4.06237793e+00  3.56464982e-01
 -1.25304568e+00  2.16572237e+00  1.18522751e+00 -3.94416451e-01
  7.19076991e-01  1.58562452e-01  1.33742464e+00  8.93125534e-02
 -8.99464607e-01 -4.53432143e-01 -2.09027171e-01 -2.23689109e-01
  1.45513523e+00  2.54486263e-01 -1.85230881e-01 -3.40113282e-01
  1.33319914e+00  1.39929807e+00  6.14522517e-01  3.77928108e-01
 -6.62532970e-02 -9.84147191e-03  2.20936239e-02  1.02552496e-01
 -1.31290138e+00 -1.24878907e+00 -3.65213990e-01 -9.71774936e-01
 -6.73827171e-01  1.16185069e+00  6.19773090e-01 -2.10380554e-01
  2.68680722e-01 -2.55542159e-01  2.26273447e-01 -5.79109192e-01
 -9.28014576e-01 -7.00914443e-01  1.85656357e+00 -2.51329511e-01
 -2.82350183e-03 -1.59255958e+00  1.03727353e+00 -5.40735722e-02
 -5.31227589e-01 -2.14317054e-01 -6.82155132e-01  6.03983760e-01
 -1.05789638e+00  1.70700455e+00 -1.08485210e+00  3.93207818e-01
  1.58407283e+00 -4.53608990e-01 -4.78233606e-01 -1.16279209e+00]",9,10,0.0,-0.0775489,0.0,-0.14300000000000002,af1deb3d2cc3cd3c0c32159075f22446,af1deb3d2cc3cd3c0c32159075f22446__0__24
